facility_id,facility_name,region,readmission_rate_pct,readmit_status,turnover_rate_pct,turnover_status,timeliness_rate_pct,complaint_status,licensed_beds,facility_type,ownership,composite_risk_score,overall_status
NH-030,Canton Care Center 5,North Country,24.07,ALERT,11.5,ON TARGET,,,176,CCRC,Not-for-profit,44.3,ALERT
NH-031,Buffalo Care Center 6,Western NY,7.89,ON TARGET,7.9,ON TARGET,,,144,Nursing Home,Government,19.3,ON TARGET
NH-032,Utica Care Center 6,Central NY,22.64,ALERT,7.8,ON TARGET,,,153,CCRC,Not-for-profit,40.3,ALERT
NH-033,Schenectady Care Center 6,Capital Region,18.37,WARNING,4.7,ON TARGET,,,100,Skilled Nursing Facility,Not-for-profit,32.5,WARNING
NH-034,Manhattan Care Center 6,NYC Metro,18.64,WARNING,12.9,ON TARGET,,,167,CCRC,Not-for-profit,37.3,WARNING
NH-035,Islip Care Center 6,Long Island,7.41,ON TARGET,11.2,ON TARGET,,,190,Nursing Home,Government,20.4,ON TARGET
NH-036,Watertown Care Center 6,North Country,12.77,ON TARGET,6.0,ON TARGET,,,140,Skilled Nursing Facility,Not-for-profit,25.2,ON TARGET
NH-037,Niagara Falls Care Center 7,Western NY,20.0,WARNING,3.2,ON TARGET,,,198,Nursing Home,For-profit,34.0,WARNING
NH-038,Rome Care Center 7,Central NY,15.79,ON TARGET,11.1,ON TARGET,,,173,CCRC,Government,32.3,ON TARGET
NH-039,Saratoga Springs Care Center 7,Capital Region,18.97,WARNING,12.8,ON TARGET,,,114,Nursing Home,For-profit,37.7,WARNING
NH-040,Staten Island Care Center 7,NYC Metro,26.32,ALERT,5.6,ON TARGET,,,62,Nursing Home,Not-for-profit,44.4,ALERT
NH-041,Hempstead Care Center 7,Long Island,24.44,ALERT,8.1,ON TARGET,,,144,CCRC,Not-for-profit,43.0,ALERT
NH-042,Plattsburgh Care Center 7,North Country,19.23,WARNING,11.9,ON TARGET,,,144,CCRC,Not-for-profit,37.6,WARNING
NH-043,Lockport Care Center 8,Western NY,18.18,WARNING,4.9,ON TARGET,,,156,Skilled Nursing Facility,For-profit,32.4,WARNING
NH-044,Auburn Care Center 8,Central NY,36.21,ALERT,14.5,ON TARGET,,,171,Skilled Nursing Facility,Not-for-profit,63.3,ALERT
NH-045,Glens Falls Care Center 8,Capital Region,23.4,ALERT,11.6,ON TARGET,,,103,Skilled Nursing Facility,For-profit,43.4,ALERT
NH-046,Bronx Care Center 8,NYC Metro,24.0,ALERT,4.1,ON TARGET,,,121,Nursing Home,Not-for-profit,40.2,ALERT
NH-047,Babylon Care Center 8,Long Island,9.52,ON TARGET,5.4,ON TARGET,,,171,Skilled Nursing Facility,For-profit,20.3,ON TARGET
NH-048,Ogdensburg Care Center 8,North Country,10.87,ON TARGET,4.7,ON TARGET,,,73,Skilled Nursing Facility,Not-for-profit,21.8,ON TARGET
NH-049,Batavia Care Center 9,Western NY,10.0,ON TARGET,2.4,ON TARGET,,,118,Skilled Nursing Facility,Government,19.3,ON TARGET
NH-050,Cortland Care Center 9,Central NY,9.8,ON TARGET,14.5,ON TARGET,,,117,Skilled Nursing Facility,Not-for-profit,25.6,ON TARGET
